上海电信-组播1,#genre#
黑龙江卫视,http://223.167.230.159:4022/rtp/239.45.3.232:5140
山西卫视,http://223.167.230.159:4022/rtp/239.45.1.229:5140
青海卫视,http://223.167.230.159:4022/rtp/239.45.1.230:5140
西藏卫视,http://223.167.230.159:4022/rtp/239.45.1.231:5140
宁夏卫视,http://223.167.230.159:4022/rtp/239.45.1.213:5140
陕西卫视,http://223.167.230.159:4022/rtp/239.45.1.232:5140
云南卫视,http://223.167.230.159:4022/rtp/239.45.0.4:5140
甘肃卫视,http://223.167.230.159:4022/rtp/239.45.1.234:5140
内蒙古卫视,http://223.167.230.159:4022/rtp/239.45.1.238:5140
河南卫视,http://223.167.230.159:4022/rtp/239.45.0.3:5140
新疆卫视,http://223.167.230.159:4022/rtp/239.45.1.116:5140
兵团卫视,http://223.167.230.159:4022/rtp/233.18.204.221:5140



