2026/06/07 18:04更新,#genre#
贵州卫视,http://223.167.230.73:4022/rtp/239.45.1.80:5140
吉林卫视,http://223.167.230.73:4022/rtp/239.45.0.6:5140
辽宁卫视,http://223.167.230.73:4022/rtp/239.45.1.123:5140
黑龙江卫视,http://223.167.230.73:4022/rtp/239.45.3.232:5140
山西卫视,http://223.167.230.73:4022/rtp/239.45.1.229:5140
青海卫视,http://223.167.230.73:4022/rtp/239.45.1.230:5140
西藏卫视,http://223.167.230.73:4022/rtp/239.45.1.231:5140
宁夏卫视,http://223.167.230.73:4022/rtp/239.45.1.213:5140
陕西卫视,http://223.167.230.73:4022/rtp/239.45.1.232:5140
云南卫视,http://223.167.230.73:4022/rtp/239.45.0.4:5140
甘肃卫视,http://223.167.230.73:4022/rtp/239.45.1.234:5140
内蒙古卫视,http://223.167.230.73:4022/rtp/239.45.1.238:5140
河南卫视,http://223.167.230.73:4022/rtp/239.45.0.3:5140
新疆卫视,http://223.167.230.73:4022/rtp/239.45.1.116:5140
兵团卫视,http://223.167.230.73:4022/rtp/233.18.204.221:5140




浙江电信-组播1,#genre#
浙江卫视,http://60.163.19.131:8188/udp/233.50.202.104:5140
浙江钱江频道,http://60.163.19.131:8188/udp/233.50.201.132:5140
浙江经济生活,http://60.163.19.131:8188/udp/233.50.201.133:5140
浙江教育频道,http://60.163.19.131:8188/udp/233.50.201.134:5140
浙江民生休闲,http://60.163.19.131:8188/udp/233.50.201.136:5140
浙江新闻频道,http://60.163.19.131:8188/udp/233.50.201.137:5140
浙江少儿频道,http://60.163.19.131:8188/udp/233.50.201.138:5140
浙江之江纪录,http://60.163.19.131:8188/udp/233.50.202.25:5140
凤凰中文,http://60.163.19.131:8188/udp/233.50.200.191:5140
凤凰资讯,http://60.163.19.131:8188/udp/233.50.200.192:5140
CCTV-1综合,http://60.163.19.131:8188/udp/233.50.200.130:5140
CCTV-2财经,http://60.163.19.131:8188/udp/233.50.200.25:5140
CCTV-3综艺,http://60.163.19.131:8188/udp/233.50.201.196:5140
CCTV-4中文国际,http://60.163.19.131:8188/udp/233.50.200.101:5140
CCTV-5体育,http://60.163.19.131:8188/udp/233.50.201.197:5140
CCTV-6电影,http://60.163.19.131:8188/udp/233.50.201.198:5140
CCTV-7国防军事,http://60.163.19.131:8188/udp/233.50.200.24:5140
CCTV-8电视剧,http://60.163.19.131:8188/udp/233.50.201.199:5140
CCTV-9纪录,http://60.163.19.131:8188/udp/233.50.201.121:5140
CCTV-10科教,http://60.163.19.131:8188/udp/233.50.201.122:5140
CCTV-12社会与法,http://60.163.19.131:8188/udp/233.50.201.123:5140
CCTV-13新闻,http://60.163.19.131:8188/udp/233.50.201.246:5140
CCTV-14少儿,http://60.163.19.131:8188/udp/233.50.201.124:5140
CCTV-16奥林匹克,http://60.163.19.131:8188/udp/233.50.201.192:5140
CCTV-16奥林匹克4K,http://60.163.19.131:8188/udp/233.50.201.63:5140
CCTV-17农业农村,http://60.163.19.131:8188/udp/233.50.200.113:5140
CCTV-5+体育赛事,http://60.163.19.131:8188/udp/233.50.201.220:5140
湖南卫视,http://60.163.19.131:8188/udp/233.50.201.103:5140
江苏卫视,http://60.163.19.131:8188/udp/233.50.201.106:5140
东方卫视,http://60.163.19.131:8188/udp/233.50.201.125:5140
湖北卫视,http://60.163.19.131:8188/udp/233.50.201.114:5140
广东卫视,http://60.163.19.131:8188/udp/233.50.201.102:5140
北京卫视,http://60.163.19.131:8188/udp/233.50.201.107:5140
深圳卫视,http://60.163.19.131:8188/udp/233.50.201.101:5140
天津卫视,http://60.163.19.131:8188/udp/233.50.201.104:5140
河北卫视,http://60.163.19.131:8188/udp/233.50.201.140:5140
安徽卫视,http://60.163.19.131:8188/udp/233.50.201.113:5140
重庆卫视,http://60.163.19.131:8188/udp/233.50.200.114:5140
云南卫视,http://60.163.19.131:8188/udp/233.50.200.115:5140
四川卫视,http://60.163.19.131:8188/udp/233.50.201.139:5140
江西卫视,http://60.163.19.131:8188/udp/233.50.201.145:5140
黑龙江卫视,http://60.163.19.131:8188/udp/233.50.201.115:5140
山东卫视,http://60.163.19.131:8188/udp/233.50.201.105:5140
辽宁卫视,http://60.163.19.131:8188/udp/233.50.201.141:5140
贵州卫视,http://60.163.19.131:8188/udp/233.50.201.142:5140
河南卫视,http://60.163.19.131:8188/udp/233.50.201.144:5140
东南卫视,http://60.163.19.131:8188/udp/233.50.201.146:5140
CETV-4,http://60.163.19.131:8188/udp/233.50.200.162:5140
杭州综合,http://60.163.19.131:8188/udp/233.50.201.173:5140
杭州明珠,http://60.163.19.131:8188/udp/233.50.201.174:5140
杭州生活,http://60.163.19.131:8188/udp/233.50.201.175:5140
杭州影视,http://60.163.19.131:8188/udp/233.50.201.176:5140
杭州青少,http://60.163.19.131:8188/udp/233.50.201.177:5140
杭州导视,http://60.163.19.131:8188/udp/233.50.201.182:5140
宁波新闻综合,http://60.163.19.131:8188/udp/233.50.201.168:5140
宁波生活频道,http://60.163.19.131:8188/udp/233.50.201.178:5140
宁波文体频道,http://60.163.19.131:8188/udp/233.50.201.179:5140
宁波影视频道,http://60.163.19.131:8188/udp/233.50.201.180:5140
温州新闻综合,http://60.163.19.131:8188/udp/233.50.201.87:5140
绍兴新闻综合,http://60.163.19.131:8188/udp/233.50.201.156:5140
衢州新闻综合,http://60.163.19.131:8188/udp/233.50.202.11:5140
衢州公共频道,http://60.163.19.131:8188/udp/233.50.202.12:5140
温州新闻综合,http://60.163.19.131:8188/udp/233.50.201.87:5140
绍兴新闻综合,http://60.163.19.131:8188/udp/233.50.201.156:5140
上海都市剧场,http://60.163.19.131:8188/udp/233.50.201.190:5140
上海欢笑剧场,http://60.163.19.131:8188/udp/233.50.201.189:5140
上海动漫秀场,http://60.163.19.131:8188/udp/233.50.201.184:5140
上海游戏风云,http://60.163.19.131:8188/udp/233.50.201.183:5140
上海生活时尚,http://60.163.19.131:8188/udp/233.50.201.187:5140
上海法治天地,http://60.163.19.131:8188/udp/233.50.201.191:5140
上海第一财经,http://60.163.19.131:8188/udp/233.50.200.125:5140
上海乐游纪实,http://60.163.19.131:8188/udp/233.50.201.185:5140
上海金色学堂,http://60.163.19.131:8188/udp/233.50.201.186:5140
湖南快乐垂钓,http://60.163.19.131:8188/udp/233.50.201.109:5140
湖南茶频道,http://60.163.19.131:8188/udp/233.50.201.188:5140
晴彩竞技,http://60.163.19.131:8188/udp/233.50.202.26:5140
晴彩篮球,http://60.163.19.131:8188/udp/233.50.202.27:5140
晴彩羽毛球,http://60.163.19.131:8188/udp/233.50.202.28:5140
晴彩广场舞,http://60.163.19.131:8188/udp/233.50.202.29:5140
轮播频道1,http://60.163.19.131:8188/udp/233.50.201.116:5140
轮播频道2,http://60.163.19.131:8188/udp/233.50.201.117:5140
中国蓝直播,http://60.163.19.131:8188/udp/233.50.201.108:5140
湖州新闻,http://60.163.19.131:8188/udp/233.50.201.158:5140
金华新闻,http://60.163.19.131:8188/udp/233.50.201.161:5140
丽水新闻,http://60.163.19.131:8188/udp/233.50.201.162:5140
嘉兴新闻,http://60.163.19.131:8188/udp/233.50.201.163:5140
桐乡新闻,http://60.163.19.131:8188/udp/233.50.201.169:5140

湖北电信-组播1,#genre#
湖北公共新闻,http://59.173.120.178:4022/rtp/239.69.1.40:9880
湖北经视频道,http://59.173.120.178:4022/rtp/239.69.1.41:9886
湖北综合频道,http://59.173.120.178:4022/rtp/239.69.1.42:9892
湖北垄上频道,http://59.173.120.178:4022/rtp/239.69.1.43:9898
湖北影视频道,http://59.173.120.178:4022/rtp/239.69.1.204:10866
湖北生活频道,http://59.173.120.178:4022/rtp/239.69.1.205:10872
湖北教育频道,http://59.173.120.178:4022/rtp/239.69.1.206:10878
武汉新闻综合,http://59.173.120.178:4022/rtp/239.69.1.145:10506
武汉电视剧,http://59.173.120.178:4022/rtp/239.69.1.146:10512
武汉科技生活,http://59.173.120.178:4022/rtp/239.69.1.251:11148
武汉文体频道,http://59.173.120.178:4022/rtp/239.69.1.147:10518
武汉教育频道,http://59.173.120.178:4022/rtp/239.69.1.60:9994
阳新综合,http://59.173.120.178:4022/rtp/239.69.1.34:9844
房县综合,http://59.173.120.178:4022/rtp/239.69.1.192:10794
蔡甸综合,http://59.173.120.178:4022/rtp/239.69.1.245:11112
CCTV-1综合,http://59.173.120.178:4022/rtp/239.254.96.96:8550
CCTV-2财经,http://59.173.120.178:4022/rtp/239.69.1.102:10250
CCTV-3综艺,http://59.173.120.178:4022/rtp/239.69.1.122:10370
CCTV-4中文国际,http://59.173.120.178:4022/rtp/239.69.1.138:10466
CCTV-5体育,http://59.173.120.178:4022/rtp/239.69.1.123:10376
CCTV-6电影,http://59.173.120.178:4022/rtp/239.69.1.124:10382
CCTV-7国防军事,http://59.173.120.178:4022/rtp/239.69.1.103:10256
CCTV-8电视剧,http://59.173.120.178:4022/rtp/239.69.1.125:10388
CCTV-9纪录,http://59.173.120.178:4022/rtp/239.69.1.104:10262
CCTV-10科教,http://59.173.120.178:4022/rtp/239.69.1.105:10268
CCTV-11戏曲,http://59.173.120.178:4022/rtp/239.69.1.154:10560
CCTV-12社会与法,http://59.173.120.178:4022/rtp/239.69.1.106:10274
CCTV-13新闻,http://59.173.120.178:4022/rtp/239.254.96.161:9040
CCTV-14少儿,http://59.173.120.178:4022/rtp/239.69.1.107:10280
CCTV-15音乐,http://59.173.120.178:4022/rtp/239.69.1.155:10566
CCTV-16奥林匹克,http://59.173.120.178:4022/rtp/239.69.1.247:11124
CCTV-16奥林匹克4K,http://59.173.120.178:4022/rtp/239.69.1.249:11136
CCTV-17农业农村,http://59.173.120.178:4022/rtp/239.69.1.152:10548
CCTV-5+体育赛事,http://59.173.120.178:4022/rtp/239.254.96.234:9484
CCTV 4K,http://59.173.120.178:4022/rtp/239.69.1.12:9712
CHC-影迷电影,http://59.173.120.178:4022/rtp/239.69.1.241:11088
CHC-动作电影,http://59.173.120.178:4022/rtp/239.69.1.242:11094
CHC-家庭影院,http://59.173.120.178:4022/rtp/239.69.1.243:11100
CCTV-第一剧场,http://59.173.120.178:4022/rtp/239.69.1.74:10084
CCTV-兵器科技,http://59.173.120.178:4022/rtp/239.69.1.79:10114
CCTV-风云足球,http://59.173.120.178:4022/rtp/239.69.1.81:10126
CCTV-高尔夫网球,http://59.173.120.178:4022/rtp/239.69.1.83:10138
CCTV-世界地理,http://59.173.120.178:4022/rtp/239.69.1.91:10186
CCTV-央视台球,http://59.173.120.178:4022/rtp/239.69.1.98:10224
CCTV-4中文国际 欧洲,http://59.173.120.178:4022/rtp/239.69.1.231:11028
CCTV-4中文国际 美洲,http://59.173.120.178:4022/rtp/239.69.1.232:11034
湖北卫视,http://59.173.120.178:4022/rtp/239.254.96.115:8664
河北卫视,http://59.173.120.178:4022/rtp/239.254.96.113:9616
深圳卫视,http://59.173.120.178:4022/rtp/239.254.96.137:8896
湖南卫视,http://59.173.120.178:4022/rtp/239.254.96.139:8908
广东卫视,http://59.173.120.178:4022/rtp/239.254.96.140:8914
北京卫视,http://59.173.120.178:4022/rtp/239.254.96.141:8920
东方卫视,http://59.173.120.178:4022/rtp/239.254.96.142:8926
浙江卫视,http://59.173.120.178:4022/rtp/239.254.96.143:8932
江苏卫视,http://59.173.120.178:4022/rtp/239.254.96.144:8938
天津卫视,http://59.173.120.178:4022/rtp/239.69.1.68:10048
山东卫视,http://59.173.120.178:4022/rtp/239.69.1.69:10054
安徽卫视,http://59.173.120.178:4022/rtp/239.69.1.70:10060
辽宁卫视,http://59.173.120.178:4022/rtp/239.69.1.71:10066
东南卫视,http://59.173.120.178:4022/rtp/239.69.1.108:10286
江西卫视,http://59.173.120.178:4022/rtp/239.69.1.126:10394
重庆卫视,http://59.173.120.178:4022/rtp/239.69.1.149:10530
贵州卫视,http://59.173.120.178:4022/rtp/239.69.1.150:10536
海南卫视,http://59.173.120.178:4022/rtp/239.69.1.151:10542
河南卫视,http://59.173.120.178:4022/rtp/239.69.1.168:10644
四川卫视,http://59.173.120.178:4022/rtp/239.69.1.169:10650
广西卫视,http://59.173.120.178:4022/rtp/239.69.1.191:10788
吉林卫视,http://59.173.120.178:4022/rtp/239.69.1.212:10914
黑龙江卫视,http://59.173.120.178:4022/rtp/239.254.96.138:8902
湖南金鹰纪实,http://59.173.120.178:4022/rtp/239.69.1.109:10292
湖南金鹰卡通,http://59.173.120.178:4022/rtp/239.69.1.248:11130
湖南快乐垂钓,http://59.173.120.178:4022/rtp/239.69.1.142:10488
湖南茶频道,http://59.173.120.178:4022/rtp/239.69.1.144:10500
BRTV卡酷少儿,http://59.173.120.178:4022/rtp/239.69.1.193:10800
河南梨园频道,http://59.173.120.178:4022/rtp/239.69.1.33:9838
河南武术世界,http://59.173.120.178:4022/rtp/239.69.1.47:9922
CETV1,http://59.173.120.178:4022/rtp/239.69.1.110:10298
CGTN记录片,http://59.173.120.178:4022/rtp/239.69.1.233:11040
CGTN西班牙语,http://59.173.120.178:4022/rtp/239.69.1.234:11046
CGTN法语,http://59.173.120.178:4022/rtp/239.69.1.235:11052

吉林电信-组播1,#genre#
吉林篮球,http://36.49.53.61:8800/rtp/239.37.0.212:5540
吉林篮球,http://36.49.53.61:8800/rtp/239.37.0.216:5540
吉林教育,http://36.49.53.61:8800/rtp/239.37.0.126:5540
CCTV-1综合,http://36.49.53.61:8800/rtp/239.37.0.235:5540
CCTV-1综合,http://36.49.53.61:8800/rtp/239.37.0.224:5540
CCTV-1综合,http://36.49.53.61:8800/rtp/239.37.0.149:5540
CCTV-1综合,http://36.49.53.61:8800/rtp/239.37.0.224:5540
CCTV-1综合,http://36.49.53.61:8800/rtp/239.37.0.152:5540
CCTV-3综艺,http://36.49.53.61:8800/rtp/239.37.0.231:5540
CCTV-5体育,http://36.49.53.61:8800/rtp/239.37.0.232:5540
CCTV-5+体育赛事,http://36.49.53.61:8800/rtp/239.37.0.121:5540
CCTV-6电影,http://36.49.53.61:8800/rtp/239.37.0.233:5540
CCTV-8电视剧,http://36.49.53.61:8800/rtp/239.37.0.234:5540
CHC动作电影,http://36.49.53.61:8800/rtp/239.37.0.186:5540
CHC影迷电影,http://36.49.53.61:8800/rtp/239.37.0.187:5540
CHC家庭影院,http://36.49.53.61:8800/rtp/239.37.0.188:5540
长影频道,http://36.49.53.61:8800/rtp/239.37.0.125:5540
CCTV电视指南,http://36.49.53.61:8800/rtp/239.37.0.115:5540
CCTV高尔夫网球,http://36.49.53.61:8800/rtp/239.37.0.230:5540
CCTV卫生健康,http://36.49.53.61:8800/rtp/239.37.0.229:5540
CCTV风云剧场,http://36.49.53.61:8800/rtp/239.37.0.114:5540
CCTV央视台球,http://36.49.53.61:8800/rtp/239.37.0.163:5540
北京卫视4K超高清,http://36.49.53.61:8800/rtp/239.37.0.109:5540
海南卫视,http://36.49.53.61:8800/rtp/239.37.0.102:5540
青海卫视,http://36.49.53.61:8800/rtp/239.37.0.104:5540
陕西卫视,http://36.49.53.61:8800/rtp/239.37.0.103:5540
北京纪实科教,http://36.49.53.61:8800/rtp/239.37.0.101:5540
上海都市剧场,http://36.49.53.61:8800/rtp/239.37.0.241:5540
上海生活时尚,http://36.49.53.61:8800/rtp/239.37.0.240:5540
上海法治天地,http://36.49.53.61:8800/rtp/239.37.0.238:5540
上海金色学堂,http://36.49.53.61:8800/rtp/239.37.0.239:5540
上海动漫秀场,http://36.49.53.61:8800/rtp/239.37.0.242:5540
上海游戏风云,http://36.49.53.61:8800/rtp/239.37.0.243:5540
上海乐游频道,http://36.49.53.61:8800/rtp/239.37.0.236:5540
金鹰纪实,http://36.49.53.61:8800/rtp/239.37.0.161:5540
快乐垂钓,http://36.49.53.61:8800/rtp/239.37.0.244:5540
茶频道,http://36.49.53.61:8800/rtp/239.37.0.245:5540
河南梨园频道,http://36.49.53.61:8800/rtp/239.37.0.228:5540
中国交通,http://36.49.53.61:8800/rtp/239.37.0.226:5540
BesTV游戏,http://36.49.53.61:8800/rtp/239.37.0.162:5540
咪咕体育,http://36.49.53.61:8800/rtp/239.37.0.194:5540
CETV1,http://36.49.53.61:8800/rtp/239.37.0.193:5540
环球奇观,http://36.49.53.61:8800/rtp/239.37.0.105:5540
优优宝贝,http://36.49.53.61:8800/rtp/239.37.0.107:5540
新动漫,http://36.49.53.61:8800/rtp/239.37.0.106:5540
扶余电视台,http://36.49.53.61:8800/rtp/239.37.0.180:5540
延边卫视,http://36.49.53.61:8800/rtp/239.37.0.116:5540
延边TV1,http://36.49.53.61:8800/rtp/239.37.0.248:5540
延边TV2,http://36.49.53.61:8800/rtp/239.37.0.249:5540
TTV洮南1,http://36.49.53.61:8800/rtp/239.37.0.218:5540
农安综合,http://36.49.53.61:8800/rtp/239.37.0.144:5540
生活频道,http://36.49.53.61:8800/rtp/239.37.0.129:5540
新闻综合,http://36.49.53.61:8800/rtp/239.37.0.250:5540
民生社会,http://36.49.53.61:8800/rtp/239.37.0.251:5540
松原综合频道,http://36.49.53.61:8800/rtp/239.37.0.246:5540
松原生活频道,http://36.49.53.61:8800/rtp/239.37.0.247:5540
白山新闻综合1,http://36.49.53.61:8800/rtp/239.37.0.137:5540
白山旅游生活2,http://36.49.53.61:8800/rtp/239.37.0.138:5540
四平1,http://36.49.53.61:8800/rtp/239.37.0.130:5540
四平2,http://36.49.53.61:8800/rtp/239.37.0.131:5540
TTV1,http://36.49.53.61:8800/rtp/239.37.0.132:5540
TTV2,http://36.49.53.61:8800/rtp/239.37.0.133:5540
TTV3,http://36.49.53.61:8800/rtp/239.37.0.134:5540
磐石综合频道,http://36.49.53.61:8800/rtp/239.37.0.164:5540
图门电视台,http://36.49.53.61:8800/rtp/239.37.0.166:5540
未知,http://36.49.53.61:8800/rtp/239.37.0.165:5540
梨树新闻,http://36.49.53.61:8800/rtp/239.37.0.168:5540
tv1,http://36.49.53.61:8800/rtp/239.37.0.167:5540
综合纪实,http://36.49.53.61:8800/rtp/239.37.0.170:5540
双辽,http://36.49.53.61:8800/rtp/239.37.0.169:5540
未知综合,http://36.49.53.61:8800/rtp/239.37.0.172:5540
未知TV,http://36.49.53.61:8800/rtp/239.37.0.171:5540
梅河口电视台,http://36.49.53.61:8800/rtp/239.37.0.173:5540
未知地方综合,http://36.49.53.61:8800/rtp/239.37.0.175:5540
DFTV综合,http://36.49.53.61:8800/rtp/239.37.0.179:5540
乾安综合,http://36.49.53.61:8800/rtp/239.37.0.181:5540
未知电视台,http://36.49.53.61:8800/rtp/239.37.0.220:5540

福建电信-组播1,#genre#
凤凰卫视资讯台,http://117.30.58.100:18888/rtp/239.61.2.183:9086
凤凰卫视中文台,http://117.30.58.100:18888/rtp/239.61.2.184:9092
东南卫视,http://117.30.58.100:18888/rtp/239.61.2.132:8708
福建综合频道,http://117.30.58.100:18888/rtp/239.61.3.4:9542
福建公共频道,http://117.30.58.100:18888/rtp/239.61.2.3:8012
福建新闻频道,http://117.30.58.100:18888/rtp/239.61.2.4:8018
福建电视剧频道,http://117.30.58.100:18888/rtp/239.61.2.5:8024
福建经济频道,http://117.30.58.100:18888/rtp/239.61.2.7:8036
福建文体频道,http://117.30.58.100:18888/rtp/239.61.2.160:8948
福建少儿频道,http://117.30.58.100:18888/rtp/239.61.2.9:8048
福建教育频道,http://117.30.58.100:18888/rtp/239.61.2.173:9026
福建旅游频道,http://117.30.58.100:18888/rtp/239.61.2.6:8030
海峡卫视,http://117.30.58.100:18888/rtp/239.61.2.151:8894
三沙卫视,http://117.30.58.100:18888/rtp/239.61.3.10:9578
厦门卫视,http://117.30.58.100:18888/rtp/239.61.2.11:8060
CCTV-1综合,http://117.30.58.100:18888/rtp/239.61.3.61:9884
CCTV-2财经,http://117.30.58.100:18888/rtp/239.61.2.174:9032
CCTV-3综艺,http://117.30.58.100:18888/rtp/239.61.3.34:9722
CCTV-4中文国际,http://117.30.58.100:18888/rtp/239.61.2.206:9224
CCTV-5体育,http://117.30.58.100:18888/rtp/239.61.3.35:9728
CCTV-6电影,http://117.30.58.100:18888/rtp/239.61.3.36:9734
CCTV-7国防军事,http://117.30.58.100:18888/rtp/239.61.2.175:9038
CCTV-8电视剧,http://117.30.58.100:18888/rtp/239.61.3.37:9740
CCTV-9纪录,http://117.30.58.100:18888/rtp/239.61.2.172:9020
CCTV-10科教,http://117.30.58.100:18888/rtp/239.61.2.176:9044
CCTV-11戏曲,http://117.30.58.100:18888/rtp/239.61.2.21:8120
CCTV-12社会与法,http://117.30.58.100:18888/rtp/239.61.2.177:9050
CCTV-13新闻,http://117.30.58.100:18888/rtp/239.61.2.23:8132
CCTV-14少儿,http://117.30.58.100:18888/rtp/239.61.2.178:9056
CCTV-15音乐,http://117.30.58.100:18888/rtp/239.61.2.25:8144
CCTV-17农业农村,http://117.30.58.100:18888/rtp/239.61.3.9:9572
CCTV-5+体育赛事,http://117.30.58.100:18888/rtp/239.61.2.171:9014
东方卫视,http://117.30.58.100:18888/rtp/239.61.2.28:8162
湖南卫视,http://117.30.58.100:18888/rtp/239.61.2.31:8180
江苏卫视,http://117.30.58.100:18888/rtp/239.61.2.30:8174
浙江卫视,http://117.30.58.100:18888/rtp/239.61.2.29:8168
河北卫视,http://117.30.58.100:18888/rtp/239.61.2.57:8336
广东卫视,http://117.30.58.100:18888/rtp/239.61.2.33:8192
山东卫视,http://117.30.58.100:18888/rtp/239.61.2.119:8708
湖北卫视,http://117.30.58.100:18888/rtp/239.61.2.120:8714
深圳卫视,http://117.30.58.100:18888/rtp/239.61.3.46:9794
黑龙江卫视,http://117.30.58.100:18888/rtp/239.61.2.34:8198
贵州卫视,http://117.30.58.100:18888/rtp/239.61.2.159:8942
安徽卫视,http://117.30.58.100:18888/rtp/239.61.2.248:9476
天津卫视,http://117.30.58.100:18888/rtp/239.61.2.180:9068
四川卫视,http://117.30.58.100:18888/rtp/239.61.2.251:9494
江西卫视,http://117.30.58.100:18888/rtp/239.61.2.182:9080
辽宁卫视,http://117.30.58.100:18888/rtp/239.61.2.181:9074
重庆卫视,http://117.30.58.100:18888/rtp/239.61.2.250:9488
北京卫视,http://117.30.58.100:18888/rtp/239.61.2.32:8186
云南卫视,http://117.30.58.100:18888/rtp/239.61.2.61:8360
河南卫视,http://117.30.58.100:18888/rtp/239.61.2.59:8348
海南卫视,http://117.30.58.100:18888/rtp/239.61.2.42:8246
广西卫视,http://117.30.58.100:18888/rtp/239.61.2.48:8282
甘肃卫视,http://117.30.58.100:18888/rtp/239.61.2.225:9338
吉林卫视,http://117.30.58.100:18888/rtp/239.61.2.223:9326
青海卫视,http://117.30.58.100:18888/rtp/239.61.2.60:8354
宁夏卫视,http://117.30.58.100:18888/rtp/239.61.2.56:8330
吉林卫视,http://117.30.58.100:18888/rtp/239.61.2.223:9326
山西卫视,http://117.30.58.100:18888/rtp/239.61.2.224:9332
甘肃卫视,http://117.30.58.100:18888/rtp/239.61.2.225:9338
内蒙古卫视,http://117.30.58.100:18888/rtp/239.61.2.226:9344
新疆卫视,http://117.30.58.100:18888/rtp/239.61.2.227:9350
兵团卫视,http://117.30.58.100:18888/rtp/239.61.2.228:9356
西藏卫视,http://117.30.58.100:18888/rtp/239.61.2.229:9362
CHC动作电影,http://117.30.58.100:18888/rtp/239.61.3.16:9616
CETV1,http://117.30.58.100:18888/rtp/239.61.2.167:8990
CETV2,http://117.30.58.100:18888/rtp/239.61.3.6:9554
CETV4,http://117.30.58.100:18888/rtp/239.61.3.15:9608
CGTN英语,http://117.30.58.100:18888/rtp/239.61.2.19:8108
CGTN纪录,http://117.30.58.100:18888/rtp/239.61.3.43:9776
CGTN法语,http://117.30.58.100:18888/rtp/239.61.3.44:9782
CGTN俄语,http://117.30.58.100:18888/rtp/239.61.3.45:9788
金鹰纪实,http://117.30.58.100:18888/rtp/239.61.3.7:9560
茶频道,http://117.30.58.100:18888/rtp/239.61.3.59:9872
河南梨园频道,http://117.30.58.100:18888/rtp/239.61.3.19:9634
河南文物宝库,http://117.30.58.100:18888/rtp/239.61.3.21:9646
河南武术世界,http://117.30.58.100:18888/rtp/239.61.3.22:9652
中国天气,http://117.30.58.100:18888/rtp/239.61.2.64:8378
金鹰卡通,http://117.30.58.100:18888/rtp/239.61.2.221:9314
卡酷少儿,http://117.30.58.100:18888/rtp/239.61.2.222:9320
嘉佳卡通,http://117.30.58.100:18888/rtp/239.61.2.72:8426

重庆电信-组播1,#genre#
重庆卫视,http://14.110.97.152:4022/rtp/235.254.196.249:1268
重庆新闻频道,http://14.110.97.152:4022/rtp/235.254.196.199:7980
重庆影视剧频道,http://14.110.97.152:4022/rtp/235.254.198.180:7980
重庆社会与法,http://14.110.97.152:4022/rtp/235.254.198.181:7980
重庆红岩文化,http://14.110.97.152:4022/rtp/235.254.198.182:7980
重庆文体娱乐,http://14.110.97.152:4022/rtp/235.254.198.187:7980
重庆新农村,http://14.110.97.152:4022/rtp/235.254.198.186:7980
重广融媒,http://14.110.97.152:4022/rtp/235.254.196.218:1146
重庆少儿频道,http://14.110.97.152:4022/rtp/235.254.196.214:1128
重庆红叶频道,http://14.110.97.152:4022/rtp/235.254.196.215:1132
重庆汽摩频道,http://14.110.97.152:4022/rtp/235.254.196.221:1156
